epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,634.83,3.347,0.24058,0.54238,2.82507,7.55933e-05,7.55933e-05,7.55933e-05
2,1253.97,2.56217,0.40454,0.74786,2.09463,0.000136285,0.000136285,0.000136285
3,1867.79,2.03818,0.55094,0.83604,1.60005,0.000181995,0.000181995,0.000181995
4,2474.73,1.7303,0.60873,0.88228,1.30728,0.000159581,0.000159581,0.000159581
5,3087.28,1.51926,0.67894,0.90325,1.12479,0.000137108,0.000137108,0.000137108
6,3696.81,1.38248,0.7089,0.9161,0.99408,0.000114635,0.000114635,0.000114635
7,4310.58,1.26536,0.73673,0.92979,0.95163,9.2162e-05,9.2162e-05,9.2162e-05
8,4922.05,1.19717,0.75471,0.92937,0.90492,6.9689e-05,6.9689e-05,6.9689e-05
9,5534.63,1.13255,0.75771,0.93236,0.90048,4.7216e-05,4.7216e-05,4.7216e-05
10,6147.65,1.09298,0.75642,0.93322,0.87033,2.4743e-05,2.4743e-05,2.4743e-05
